Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Logistic Regression,0.8146067415730337,0.7966101694915254,0.6911764705882353,0.7401574803149606,0.8606951871657754
Decision Tree,0.7471910112359551,0.7346938775510204,0.5294117647058824,0.6153846153846154,0.8258689839572192
Random Forest,0.8426966292134831,0.8125,0.7647058823529411,0.787878787878788,0.827874331550802
